Product Supplied
https://www.eia.gov/dnav/pet/pet_cons_psup_dc_nus_mbblpd_a.htm
00:40:05 GMT-0800 (PST)
Source: U.S. Energy Information Administration
Series Link,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MTTUPUS2&f=A
Series Key,MTTUPUS2.A
Year,U.S. Product Supplied of Crude Oil and Petroleum Products Mbbl/d
2016,19687
2015,19534
2014,19100
2013,18967
2012,18487
2011,18887
2010,19180
2009,18771
2008,19498
2007,20680
2006,20687
2005,20802
2004,20731
2003,20034
2002,19761
2001,19649
2000,19701
1999,19519
1998,18917
1997,18620
1996,18309
1995,17725
1994,17718
1993,17237
1992,17033
1991,16714
1990,16988
1989,17325
1988,17283
1987,16665
1986,16281
1985,15726
1984,15726
1983,15231
1982,15296
1981,16058
1980,17056
1979,18513
1978,18847
1977,18431
1976,17461
1975,16322
1974,16653
1973,17308 
