U.S. Imports of,Crude Oil,,,,,,,,,,,,,,,
Not Seasonally A,djusted,,,,,,,,,,,,,,,
1973 - Present,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Period,Quantity,Change,from,Value,Change,from,Change,from,,Quantity,Change from,Value,Change from,Unit Price (dollars),,Change from previous period
,(thousands of,previ,ous,(thousands of,prev,ious,Unit Price  previ,ous,Period,(thousands of,previous,(thousands,previous,,,
,barrels),peri,od,dollars),per,iod,(dollars)   peri,od,,barrels),period,dollars),period,,,
,,,,,,,,,,,,,,,,
2018,,,,,,,,,2017,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,Ja,n.-July,"1,732,184","124,051","77,657,485","24,445,039",44.83        1,1.74,
January,,,,,,,,,January,258934,20870,11376415,1520627,43.94,2.5,4
February,,,,,,,,,February,235266,-23668,10 646 356,-730 059,45.25,,1.31
March,,,,,,,,,March,259 871,24605,12022277,1375921,46.26,1,1
April,,,,,,,,,April,"229,237","-30,634","10,407,522","-1,614,755",45.4,,-0.86
May,,,,,,,,,May,"264,983","35,746","11,932,754","1,525,232",45.03,,-0.37
June,,,,,,,,,June,"248,756","-16,227","11,115,093","-817,661",44.68,,-0.35
July,,,,,,,,,July,"235,136","-13,620","10,157,068","-958,025",43.2,,-1.48
August,,,,,,,,,August,,,,,,,
September,,,,,,,,,September,,,,,,,
October,,,,,,,,,October,,,,,,,
November,,,,,,,,,November,,,,,,,
December,,,,,,,,,December,,,,,,,
2016,,,,,,,,,2015,,,,,,,
Jan.-July,"1,608,133",6,"9,234","53,212,446","-26,0","6,102",-33.09,18.39Ja,n.-July,"1,538,899","-59,757","79,218,548","-71,769,301",51.48,,-42.97
January,"226,663",-2,"6,328","7,265,037","-1,9","98,120",27.49,-4.56,January,"224,349","-21,628","13,238,674","-4,866,371",59.01,,-14.59
February,"214,905",-1,"1,758","5,908,183","-1,3","56,854",27.67,-4.56,February,"193,397","-30,952","9,587,219","-3,651,455",49.57,,-9.44
March,"243,940",2,"9,035","6,749,736",8,"41,553",32.05,0.18,March,"223,451","30,054","10,341,134","753,915",46.28,,-3.29
April,"228,862",-1,"5,078","6,758,059",,"8,323",29.53,1.86,April,"235,855","12,404","10,972,630","631,496",46.52,,0.24
May,"223,398",-,"5,464","7,638,712",8,"80,653",34.19,4.66,May,"201,887","-33,968","10,247,430","-725,200",50.76,,4.24
June,"244,772",2,"1,374","9,639,008","2,0","00,296",39.38,5.19,June,"223,381","21,494","12,008,765","1,761,335",53.76,,3
July,"225,593",-1,"9,179","9,253,711",-3,"85,297",41.02,1.64,July,"236,579","13,198","12,822,696","813,931",54.2,,0.44
August,"256,644",3,"1,051","10,107,769",8,"54,058",39.38,-1.64,August,"219,476","-17,103","10,826,180","-1,996,516",49.33,,-4.87
September,"238,506",-1,"8,138","9,304,798",-8,"2,971",39.01,-0.37,September,"231,379","11,903","9,884,804","-941,376",42.72,,-6.61
October,"224,658",-1,"3,848","8,992,622",-3,"12,176",40.03,1.02,October,"206,783","-24,596","8,294,927","-1,589,877",40.11,,-2.61
November,"240,407",1,"5,749","9,812,069",8,"19,447",40.81,0.78,November,"212,816","6,033","8,339,530","44,603",39.19,,-0.92
December,"238,064",-,"2,343","9,855,788",,"43,719",41.4,0.59,December,"252,991","40,175","9,263,157","923,627",36.61,,-2.58
